,aqi,pm2_5,pm10,co,no2,so2,o3
aqi,1.0,0.8770857921209895,0.631466990418671,0.12450415357842684,-0.11385430067504436,0.7578235754664401,0.6715642617584241
pm2_5,0.8770857921209895,1.0,0.7635030907244981,0.17286247633287544,-0.07010313484479674,0.7646222488453732,0.4720939195252376
pm10,0.631466990418671,0.7635030907244981,1.0,-0.14593620855722947,-0.35754689408143375,0.42576487760993637,0.5067399802764486
co,0.12450415357842684,0.17286247633287544,-0.14593620855722947,1.0,0.523729319036338,0.3985274160187403,-0.2551799322392507
no2,-0.11385430067504436,-0.07010313484479674,-0.35754689408143375,0.523729319036338,1.0,0.25314006099045616,-0.6065511299833503
so2,0.7578235754664401,0.7646222488453732,0.42576487760993637,0.3985274160187403,0.25314006099045616,1.0,0.38180406451527227
o3,0.6715642617584241,0.4720939195252376,0.5067399802764486,-0.2551799322392507,-0.6065511299833503,0.38180406451527227,1.0
