,aqi,pm10,pm2_5,co,no2,so2,o3
count,91.0,91.0,91.0,91.0,91.0,91.0,91.0
mean,112.92261904761904,51.882051282051286,34.73108974358974,787.011446886447,29.14244505494505,8.937408424908426,102.2165750915751
std,22.713272968892785,25.65266964944657,11.841934884165138,204.95322778928724,8.65420830229664,1.9830930816613654,18.79935502138081
min,62.958333333333336,17.429166666666667,15.075000000000001,423.5416666666667,14.970833333333333,5.254166666666666,40.958333333333336
25%,95.22916666666666,33.543749999999996,27.28541666666667,631.1458333333334,22.52916666666667,7.739583333333334,92.52083333333334
50%,109.45833333333333,46.52916666666667,32.520833333333336,766.125,28.587500000000002,8.754166666666666,104.66666666666667
75%,128.45833333333331,62.76875,42.32083333333334,905.9583333333334,36.212500000000006,10.53125,115.45833333333334
max,167.70833333333334,169.22083333333333,64.9875,1375.875,47.449999999999996,15.0375,138.0
